,id,name,neighbourhood,room_type,price
258,3034946,琪寓-油麻地地鐵站口2分鐘-雅寶公寓2房1厅住5-6人,Yau Tsim Mong,Entire home/apt,1477.0
259,3043288,日式清雅（波鞋街、女人街）地铁口房一厅住5至7人,Yau Tsim Mong,Entire home/apt,1927.0
260,3047488,1BR Super Convenient Kowloon near 2 MTR 500mb WiFi,Yau Tsim Mong,Entire home/apt,591.0
261,3052764,Walk To HKU. Room in STT,Central & Western,Private room,300.0
262,3069740,1 bdrm shared apartment @ HK Uni 1,Central & Western,Private room,302.0
263,3069823,1 bdrm shared apartment @ HK Uni 2,Central & Western,Private room,543.0
264,3069856,1 bdrm shared apartment @ HK Uni 3,Central & Western,Private room,349.0
265,3069865,1 bdrm shared apartment @ HK Uni 4,Central & Western,Private room,587.0
266,3071178,A perfect place,Central & Western,Entire home/apt,780.0
267,3075861,Susanna's Homestay,Sai Kung,Private room,986.0
268,3085792,INCREDIBLE Architect Design DUPLEX,Sha Tin,Entire home/apt,1550.0
269,3106194,Central Room in share flat,Central & Western,Private room,267.0
270,3106594,"Oceanview 1 bed apt, BRAND NEW reno",Islands,Entire home/apt,1588.0
271,3115717,Short-term stay in Hong Kong,Islands,Entire home/apt,1200.0
272,3127113,innspirit 樂軒 - 舒適双人房  - 尖沙咀港鐵站旁,Yau Tsim Mong,Private room,480.0
273,3127393,innspirit 樂軒 - 兩獨立套房、5位房客- 尖沙咀港鐵站旁,Yau Tsim Mong,Entire home/apt,1100.0
274,3140677,BIG 1 BEDROOM + Office - QUIET,Central & Western,Entire home/apt,1200.0
275,3152441,AMAZING Top Floor Seaview STAR Ensuite,Sai Kung,Private room,600.0
276,3177173,Hennessy Cozy washer Wifi MTR #SA,Wan Chai,Entire home/apt,600.0
277,3177277,Comfy Studio MTR Wifi Washer #SB,Wan Chai,Entire home/apt,400.0
278,3177295,CityView MTR Wifi Washer #SC,Wan Chai,Entire home/apt,600.0
279,3200751,Ruby Dream Home,Kwai Tsing,Private room,493.0
280,3202861,Midlevels Modern Apartment with Peak Views,Central & Western,Entire home/apt,3500.0
281,3241897,Great High Rise Apartment in Quiet neighborhood,Tsuen Wan,Private room,550.0
282,3259371,"Stunning FULL harbourview, 2 beds, high floor.",Eastern,Entire home/apt,2800.0
283,3294476,Whole Apartment @ mid-level,Central & Western,Entire home/apt,1586.0
284,3298455,Central Park vibe in ultra-trendy Causeway Bay,Wan Chai,Private room,1000.0
285,3315931,SPECTACULAR Seaview COOL Room,Sai Kung,Private room,330.0
286,3319422,New-Fashioned Studio Apartment Near Causeway Bay,Wan Chai,Entire home/apt,841.0
287,3344846,1-bedroom flat near HK Airport,Islands,Entire home/apt,1809.0
288,3346038,AMAZING Top Floor Seaview SKY Room,Sai Kung,Private room,450.0
289,3351296,AMAZING Top Floor Seaview CLOUD Room,Sai Kung,Private room,450.0
290,3351826,AMAZING Top Floor 3 BEDROOM 2 BATH Unit,Sai Kung,Entire home/apt,1150.0
291,3411574,Yellow Bamboo Bay,Sai Kung,Private room,507.0
292,3443586,Nice Studio available in Wan Chai,Wan Chai,Private room,280.0
293,3469627,Lovely cozy new renovated rm Shatin,Sha Tin,Private room,547.0
294,3514460,500MB WIFI: Near 2 MTR stations (Red/Green lines),Yau Tsim Mong,Entire home/apt,607.0
295,3525683,Newly renovated! Explore like local,Wan Chai,Entire home/apt,1200.0
296,3535812,"Kowloon Mongkok 1812 Quadruple Room A,near station",Yau Tsim Mong,Private room,281.0
297,3545636,"Kowloon Mongkok 1812 Twin Room B, near station",Yau Tsim Mong,Private room,193.0
298,3546058,A single room next to a brand new hotel,Eastern,Private room,350.0
299,3580565,Tsim Sha Tsui Metro 2 Bedrooms,Yau Tsim Mong,Entire home/apt,1500.0
300,3596518,SPECTACULAR Seaview 3 BEDRM Unit,Sai Kung,Entire home/apt,1050.0
301,3616954,Deluxe Studio - Causeway Bay,Wan Chai,Private room,290.0
302,3647187,North Point's hidden treasure!,Eastern,Entire home/apt,750.0
303,3656571,给你一個安全清潔的暫時居地是金丰賓館(Kam Fung )的主旨!,Wan Chai,Private room,679.0
304,3712078,Cozy Studio near Mongkok,Yau Tsim Mong,Entire home/apt,363.0
305,3712813,"Kowloon Mongkok 1812 Double Room A, near station",Yau Tsim Mong,Private room,193.0
306,3731098,香港HK 2~3人房間HK room for 2-3 persons,Sham Shui Po,Private room,350.0
307,3783735,"Kowloon Mongkok 1812 Triple Room A, near station",Yau Tsim Mong,Private room,237.0
308,3803245,A gem in  HK Island  (next to a brand new hotel),Eastern,Private room,788.0
309,3853127,"Room in a modern apt, in cool  spot",Central & Western,Private room,650.0
310,3857230,尖沙咀地鐵新装舒適3房8人/Newly Reno TsimShaTsui MTR/3Br/8ppl,Yau Tsim Mong,Entire home/apt,1132.0
311,3870691,"Kowloon Mongkok 1812 Twin Room C, near station",Yau Tsim Mong,Private room,193.0
312,3870727,"Kowloon Mongkok 1812 Triple Room B, near station",Yau Tsim Mong,Private room,237.0
313,3885448,Home SWEET Home in TST Hong Kong,Yau Tsim Mong,Entire home/apt,929.0
